taxa,variable,number_of_positive_tests ,effectsize,family
AB009176_g 1,Trimodal - C 1,2,-1.161797877474679,Ruminococcaceae
AB009176_g 1,Trimodal - C 4,2,0.854715801879822,Ruminococcaceae
Victivallis 1,Trimodal - C 1,2,-0.9186910082927277,Victivallaceae
Victivallis 1,Trimodal - C 4,2,0.5956472155069383,Victivallaceae
Pasteurellaceae 1,Trimodal - C 2,2,-0.8499313208735004,Pasteurellaceae
Oscillibacter 11,Trimodal - C 1,2,-0.6209510554813895,Ruminococcaceae
Oscillibacter 11,Trimodal - C 3,2,-1.2292597530528158,Ruminococcaceae
Oscillibacter 11,Trimodal - C 2,2,0.6034202185240298,Ruminococcaceae
Pseudoflavonifractor 3,Trimodal - C 3,2,-0.8386547290229339,Ruminococcaceae
HQ716403_g 2,Trimodal - C 3,2,-1.2154898003424155,Christensenellaceae
Anaerofilum 1,Trimodal - C 3,2,-0.6025863601250443,Ruminococcaceae
Eubacterium_g5 3,Trimodal - C 2,2,-0.7815983690119179,Lachnospiraceae
Ruminococcus 6,Trimodal - C 4,2,-1.523476705748845,Ruminococcaceae
JN713389_g 1,Trimodal - C 2,2,-1.039067758915798,Ruminococcaceae
FJ367735_g 1,Trimodal - C 3,2,-0.770732136468901,FJ367735_f
Clostridium_g24 4,Trimodal - C 3,2,-1.2989340449838362,Lachnospiraceae
Bacteroides 31,Trimodal - C 2,2,-1.2010630594692955,Bacteroidaceae
KE159538_g 3,Trimodal - C 1,2,-1.34523828613615,Lachnospiraceae
KE159538_g 3,Trimodal - C 4,2,0.721728855678541,Lachnospiraceae
KE159538_g 3,Trimodal - C 2,2,-1.1019612535687164,Lachnospiraceae
Prevotella 5,Trimodal - C 1,2,-2.3819268395546285,Prevotellaceae
Prevotella 5,Trimodal - C 4,2,-1.6598424705746466,Prevotellaceae
Prevotella 5,Trimodal - C 3,2,1.4639729148128375,Prevotellaceae
Bacteroides 34,Trimodal - C 3,2,-1.30691587702624,Bacteroidaceae
Eubacterium_g17 2,Trimodal - C 1,2,-1.625583152220035,Lachnospiraceae
Eubacterium_g17 2,Trimodal - C 3,2,-0.8739866298884387,Lachnospiraceae
Prevotella 4,Trimodal - C 4,2,-3.0051052995567704,Prevotellaceae
Clostridium_g8 1,Trimodal - C 3,2,-0.5601727180208907,Lachnospiraceae
Clostridium_g8 1,Trimodal - C 2,2,-1.0974426387423886,Lachnospiraceae
Blautia 5,Trimodal - C 3,2,-1.1234914928036128,Lachnospiraceae
KE159538_g 4,Trimodal - C 2,2,-0.7081477063713837,Lachnospiraceae
JN713389_g 2,Trimodal - C 1,2,-1.0014738822180764,Ruminococcaceae
Oscillibacter 12,Trimodal - C 3,2,-0.7198626235217492,Ruminococcaceae
LLKB_g 3,Trimodal - C 1,2,-0.6388701199701684,Lachnospiraceae
DQ905324_g 1,Trimodal - C 3,2,-0.7700908329036165,Coriobacteriaceae
DQ815907_g 1,Trimodal - C 4,2,-0.5908581729147139,Desulfovibrionaceae
DQ815907_g 1,Trimodal - C 3,2,-0.5391112604655415,Desulfovibrionaceae
Lachnospiraceae 3,Trimodal - C 1,2,-0.6279903643197864,Lachnospiraceae
Eubacterium_g17 3,Trimodal - C 4,2,-0.8704875970275282,Lachnospiraceae
Bacteroides 9,Trimodal - C 3,2,1.6550749798972906,Bacteroidaceae
Sporobacter 8,Trimodal - C 3,2,-0.91086972748083,Ruminococcaceae
Murimonas 3,Trimodal - C 1,2,-0.548515914277873,Lachnospiraceae
Veillonella 2,Trimodal - C 2,2,-0.6831577106576139,Veillonellaceae
Pseudoflavonifractor 5,Trimodal - C 3,2,-1.0985127067093299,Ruminococcaceae
JN713389_g 6,Trimodal - C 1,2,-0.8957141139682235,Ruminococcaceae
LLKB_g 4,Trimodal - C 1,2,-0.7601311393770993,Lachnospiraceae
Sporobacter 11,Trimodal - C 3,2,-0.5556223586596706,Ruminococcaceae
Sporobacter 11,Trimodal - C 2,2,0.9374758133664762,Ruminococcaceae
Romboutsia 2,Trimodal - C 1,2,-0.7641537570736584,Peptostreptococcaceae
DQ815907_g 2,Trimodal - C 3,2,-0.5890789183056705,Desulfovibrionaceae
Clostridium_g7 2,Trimodal - C 4,2,-0.9834066104761648,Lachnospiraceae
EF404788_g 1,Trimodal - C 3,2,-0.5907779373313724,Ruminococcaceae
Bacteroidetes 1,Trimodal - C 3,2,-0.7075043516212438,
Pseudoflavonifractor 6,Trimodal - C 4,2,0.7253285467044112,Ruminococcaceae
Prevotella 6,Trimodal - C 1,2,0.42652905173995903,Prevotellaceae
Prevotella 6,Trimodal - C 4,2,-2.6828358005439554,Prevotellaceae
Prevotella 6,Trimodal - C 2,2,-1.4814841860747945,Prevotellaceae
AB239481_g 6,Trimodal - C 1,2,-0.7874802701895862,Christensenellaceae
Eubacterium_g23 7,Trimodal - C 1,2,-1.1280177171006518,Ruminococcaceae
AM277063_g 1,Trimodal - C 4,2,0.7837666344219111,Coriobacteriaceae
Subdoligranulum 5,Trimodal - C 4,2,-1.6187662834054313,Ruminococcaceae
Clostridium 1,Trimodal - C 3,2,-1.0283322180230696,Clostridiaceae
Alistipes 13,Trimodal - C 4,2,0.9257257375338018,Rikenellaceae
Alistipes 13,Trimodal - C 2,2,-0.9194353349135662,Rikenellaceae
Butyricimonas 3,Trimodal - C 3,2,-0.7756641756789641,Odoribacteraceae
Lactobacillus 1,Trimodal - C 2,2,-0.6033335643498559,Lactobacillaceae
JN713389_g 8,Trimodal - C 2,2,-0.9192440001681558,Ruminococcaceae
Bacteroides 50,Trimodal - C 3,2,-0.4319904047988727,Bacteroidaceae
Bacteroides 50,Trimodal - C 2,2,0.7656547363277465,Bacteroidaceae
Eubacterium_g4 2,Trimodal - C 2,2,0.7668879535776583,Lachnospiraceae
AB239481_g 7,Trimodal - C 3,2,-1.1747457229310094,Christensenellaceae
AB239481_g 7,Trimodal - C 2,2,0.8005544054916865,Christensenellaceae
Pseudoflavonifractor 11,Trimodal - C 3,2,-0.9621476706902657,Ruminococcaceae
Pseudoflavonifractor 11,Trimodal - C 2,2,0.8278529843907872,Ruminococcaceae
Pseudoflavonifractor 9,Trimodal - C 3,2,-0.7125370596871459,Ruminococcaceae
FJ848448_g 1,Trimodal - C 1,2,-0.5820660200762483,Christensenellaceae
FJ848448_g 1,Trimodal - C 4,2,1.094124627017354,Christensenellaceae
Veillonella 3,Trimodal - C 3,2,1.0409843789827833,Veillonellaceae
AB009176_g 8,Trimodal - C 1,2,-0.5692275399420414,Ruminococcaceae
AB009176_g 8,Trimodal - C 2,2,-0.6503183924692348,Ruminococcaceae
Marvinbryantia 1,Trimodal - C 1,2,-0.606899939149606,Lachnospiraceae
Sellimonas 1,Trimodal - C 3,2,-0.5623826564985922,Lachnospiraceae
Murimonas 4,Trimodal - C 1,2,-0.6535967574412253,Lachnospiraceae
Murimonas 4,Trimodal - C 4,2,0.833485984313587,Lachnospiraceae
Sporobacter 17,Trimodal - C 1,2,-0.528921957586184,Ruminococcaceae
Sporobacter 17,Trimodal - C 4,2,-0.6046995437205336,Ruminococcaceae
Pseudoflavonifractor 12,Trimodal - C 1,2,-0.5684670137118024,Ruminococcaceae
Mogibacterium 1,Trimodal - C 4,2,-1.2347367879320787,Mogibacterium_f
Mogibacterium 1,Trimodal - C 2,2,0.6366914590323788,Mogibacterium_f
GU302849_g 1,Trimodal - C 4,2,0.6685104929809332,Christensenellaceae
GU302849_g 1,Trimodal - C 3,2,-0.7839539840092614,Christensenellaceae
Howardella 1,Trimodal - C 1,2,-0.5493907056350804,Lachnospiraceae
KE159538_g 1,Trimodal - C 1,2,-0.7431306771844374,Lachnospiraceae
Bacteroides 10,Trimodal - C 1,2,-1.043462875920002,Bacteroidaceae
HM124260_g 3,Trimodal - C 1,2,-0.6858153345789033,Christensenellaceae
HM124260_g 3,Trimodal - C 2,2,1.0310313754399922,Christensenellaceae
Sporobacter 19,Trimodal - C 3,2,-0.9434927183057943,Ruminococcaceae
AM277063_g 2,Trimodal - C 1,2,-0.6628015948282894,Coriobacteriaceae
Coprococcus_g1 2,Trimodal - C 3,2,-1.0631787046111576,Lachnospiraceae
Caproiciproducens 5,Trimodal - C 4,2,-0.7498751546666496,Ruminococcaceae
Clostridium_g23 1,Trimodal - C 3,2,-0.581779592791496,Lachnospiraceae
EF400272_g 1,Trimodal - C 4,2,-0.4889166127927705,Ruminococcaceae
EF400272_g 1,Trimodal - C 2,2,0.7852089956746315,Ruminococcaceae
Oscillibacter 22,Trimodal - C 2,2,0.8401213769006831,Ruminococcaceae
AY442821_g 2,Trimodal - C 4,2,0.8701858353805744,Christensenellaceae
Parabacteroides 4,Trimodal - C 2,2,-0.6584628746967063,Porphyromonadaceae
Bacteroides 62,Trimodal - C 3,2,0.6244674072076156,Bacteroidaceae
Bacteroides 62,Trimodal - C 2,2,-0.6438853122931926,Bacteroidaceae
HQ452860_g 1,Trimodal - C 1,2,-0.6897441136072543,Erysipelotrichaceae
HQ452860_g 1,Trimodal - C 3,2,-0.7599513535059051,Erysipelotrichaceae
HQ452860_g 1,Trimodal - C 2,2,0.6300589926858109,Erysipelotrichaceae
Dialister 9,Trimodal - C 2,2,-0.7675394537611157,Veillonellaceae
HM124260_g 6,Trimodal - C 4,2,0.5450094326928477,Christensenellaceae
Sutterella 2,Trimodal - C 3,2,-1.2112255504102225,Sutterellaceae
AB009176_g 19,Trimodal - C 3,2,-0.7817794878560236,Ruminococcaceae
JN713389_g 16,Trimodal - C 4,2,-0.86094904051047,Ruminococcaceae
Collinsella 1,Trimodal - C 3,2,-0.6291532889486744,Coriobacteriaceae
Faecalibacterium 5,Trimodal - C 2,2,-0.8823132129002071,Ruminococcaceae
EF402988_g 1,Trimodal - C 3,2,-0.4765907443107032,Lachnospiraceae
Bacteroides 14,Trimodal - C 2,2,0.8965538643041026,Bacteroidaceae
Alloprevotella 1,Trimodal - C 4,2,-3.635820212811071,Prevotellaceae
Bacteroides 13,Trimodal - C 3,2,-1.312990830000618,Bacteroidaceae
Prevotella 3,Trimodal - C 1,2,-1.8436537199900598,Prevotellaceae
LARJ_g 1,Trimodal - C 1,2,-2.2232589107276923,Rhodospirillaceae
EF602946_g 2,Trimodal - C 3,2,-0.4267987747817441,Ruminococcaceae
Eggerthella 1,Trimodal - C 4,2,0.44270614293325544,Coriobacteriaceae
