taxa,variable,number_of_positive_tests ,effectsize,family
Escherichia 1,C&R 2,2,-1.5207698845429798,Enterobacteriaceae
Eubacterium_g20 1,C&R 3,2,-1.2653093241435251,Lachnospiraceae
Barnesiella 1,C&R 1,2,-1.0079957788927383,Porphyromonadaceae
Desulfovibrio 2,C&R 4,2,-1.0310420296499776,Desulfovibrionaceae
GQ896819_g 1,C&R 4,2,-1.0341634291907524,Ruminococcaceae
Sporobacter 4,C&R 2,2,-1.5971146469204092,Ruminococcaceae
Blautia 8,C&R 1,2,-1.2041471581439604,Lachnospiraceae
Barnesiella 3,C&R 1,2,-1.512296503595696,Porphyromonadaceae
AB239481_g 1,C&R 1,2,-1.4823109407864468,Christensenellaceae
Terrisporobacter 1,C&R 2,2,-0.8863222801699054,Peptostreptococcaceae
LARJ_g 4,C&R 5,2,-1.0035221438252682,Rhodospirillaceae
Sporobacter 5,C&R 4,2,0.8225044842386491,Ruminococcaceae
Desulfovibrio 1,C&R 5,2,0.7517327374276096,Desulfovibrionaceae
Desulfovibrio 1,C&R 2,2,-0.7681649775282859,Desulfovibrionaceae
Clostridium_g24 3,C&R 5,2,0.5726407851301032,Lachnospiraceae
GQ422712_g 1,C&R 3,2,-1.349035061231167,Christensenellaceae
GU303868_g 1,C&R 4,2,-1.692921679326821,S24-7_f
Coprococcus 3,C&R 5,2,-0.790246799943456,Lachnospiraceae
Barnesiella 4,C&R 4,2,1.3390670613025826,Porphyromonadaceae
Barnesiella 4,C&R 5,2,-1.9394151699731736,Porphyromonadaceae
Barnesiella 4,C&R 2,2,-0.9726627143045903,Porphyromonadaceae
Bacteroides 4,C&R 3,2,-1.0349237036546073,Bacteroidaceae
Bifidobacterium 4,C&R 5,2,-1.4204707520609785,Bifidobacteriaceae
Bifidobacterium 4,C&R 2,2,0.666115737014097,Bifidobacteriaceae
Victivallis 1,C&R 1,2,-0.6161875941168014,Victivallaceae
Pasteurellaceae 1,C&R 5,2,-0.6625816873990134,Pasteurellaceae
Pasteurellaceae 1,C&R 3,2,0.7713027396809025,Pasteurellaceae
Pasteurellaceae 1,C&R 2,2,-0.7126453244781336,Pasteurellaceae
Sporobacter 6,C&R 1,2,-0.9542975845235958,Ruminococcaceae
Caproiciproducens 2,C&R 2,2,-0.9127600628404364,Ruminococcaceae
Ruminococcus 5,C&R 2,2,-1.8476925919348528,Ruminococcaceae
Oscillibacter 10,C&R 4,2,-1.8238107545150744,Ruminococcaceae
Oscillibacter 10,C&R 5,2,0.8389769508535033,Ruminococcaceae
Oscillibacter 10,C&R 3,2,-1.3005895810925177,Ruminococcaceae
Anaerofilum 1,C&R 4,2,0.5850473802365415,Ruminococcaceae
Sporobacter 7,C&R 3,2,-0.8327706327888343,Ruminococcaceae
Ruminococcus_g4 5,C&R 2,2,-0.7918620813004884,Lachnospiraceae
Eubacterium_g5 3,C&R 3,2,-0.6825034607817347,Lachnospiraceae
Parasutterella 1,C&R 3,2,-0.8620522519365837,Sutterellaceae
JN713389_g 1,C&R 3,2,-0.7221904491977421,Ruminococcaceae
Bacteroides 7,C&R 2,2,-2.7990303059286705,Bacteroidaceae
FJ367735_g 1,C&R 1,2,-0.8792470894191508,FJ367735_f
FJ367735_g 1,C&R 2,2,-1.4881284367380045,FJ367735_f
Alistipes 11,C&R 5,2,-0.7433824570757751,Rikenellaceae
Alistipes 11,C&R 3,2,-0.848038512680568,Rikenellaceae
HM124244_g 1,C&R 2,2,-0.9459217898822572,Christensenellaceae
EU358717_g 1,C&R 4,2,-0.994800544460085,Lachnospiraceae
EU358717_g 1,C&R 5,2,0.7838174887625582,Lachnospiraceae
Clostridium_g24 4,C&R 4,2,0.7696157786331853,Lachnospiraceae
Clostridium_g24 4,C&R 3,2,-0.8138767053513264,Lachnospiraceae
Bacteroides 31,C&R 2,2,-0.8355190460762671,Bacteroidaceae
KE159538_g 3,C&R 1,2,-1.1278022939578618,Lachnospiraceae
FJ440089_g 1,C&R 4,2,-1.6664511609165669,Prevotellaceae
Prevotella 5,C&R 4,2,-2.796279380363396,Prevotellaceae
Prevotella 5,C&R 5,2,2.585461481472078,Prevotellaceae
Clostridium_g8 1,C&R 3,2,-1.0249902393988999,Lachnospiraceae
Clostridium_g8 1,C&R 2,2,-0.758534691202727,Lachnospiraceae
Blautia 5,C&R 3,2,-1.3342566535553848,Lachnospiraceae
KE159538_g 4,C&R 4,2,-0.6971513649121639,Lachnospiraceae
LLKB_g 3,C&R 5,2,1.4025533008863729,Lachnospiraceae
LLKB_g 3,C&R 2,2,-0.7869956386531357,Lachnospiraceae
EU464362_g 1,C&R 1,2,-0.8908890303812285,EU464362_f
FR888536_g 3,C&R 4,2,-0.6514256287733433,FR888536_f
FR888536_g 3,C&R 3,2,0.9638573563045439,FR888536_f
Clostridium_g24 5,C&R 3,2,-0.9355186719607915,Lachnospiraceae
DQ815907_g 1,C&R 4,2,-0.9829751593622319,Desulfovibrionaceae
DQ815907_g 1,C&R 1,2,-0.7532624298517889,Desulfovibrionaceae
AB009176_g 2,C&R 3,2,-1.4404513610892342,Ruminococcaceae
Eubacterium_g17 3,C&R 4,2,-0.974450629691387,Lachnospiraceae
Oscillibacter 14,C&R 4,2,-1.655918509028837,Ruminococcaceae
AJ518873_g 1,C&R 5,2,0.599491906357062,Lachnospiraceae
Bacteroides 9,C&R 5,2,1.3662455419560264,Bacteroidaceae
Bacteroides 9,C&R 3,2,-1.1846181746700324,Bacteroidaceae
Bacteroides 9,C&R 2,2,-1.2527139114502321,Bacteroidaceae
Sporobacter 8,C&R 4,2,-0.7659626470480368,Ruminococcaceae
Veillonella 2,C&R 3,2,-0.9290359401918584,Veillonellaceae
Pseudoflavonifractor 5,C&R 5,2,-0.7075964948211517,Ruminococcaceae
Eubacterium_g23 5,C&R 1,2,-0.6370983392514931,Ruminococcaceae
JN713389_g 6,C&R 4,2,-1.4994976020338355,Ruminococcaceae
JN713389_g 6,C&R 1,2,-0.6932529283148099,Ruminococcaceae
Sporobacter 11,C&R 4,2,-0.6910330199580988,Ruminococcaceae
Romboutsia 2,C&R 4,2,0.684699950523706,Peptostreptococcaceae
Romboutsia 2,C&R 1,2,-0.6063824404941102,Peptostreptococcaceae
DQ815907_g 2,C&R 4,2,0.6640527528738729,Desulfovibrionaceae
DQ815907_g 2,C&R 3,2,-0.6227949000618603,Desulfovibrionaceae
DQ815907_g 2,C&R 1,2,-0.6144408428854237,Desulfovibrionaceae
Clostridium_g7 2,C&R 3,2,-0.740131387460701,Lachnospiraceae
Caproiciproducens 4,C&R 5,2,-0.6105894751847272,Ruminococcaceae
Sporobacter 10,C&R 1,2,-0.6284062401512179,Ruminococcaceae
Streptococcus 3,C&R 5,2,-1.038241295868855,Streptococcaceae
EF404788_g 1,C&R 3,2,-0.584775415262953,Ruminococcaceae
AB185535_g 1,C&R 2,2,-0.7844490335675449,AB185535_f
Pseudoflavonifractor 6,C&R 4,2,-1.0961515610658377,Ruminococcaceae
Prevotella 6,C&R 4,2,-1.5742429713851986,Prevotellaceae
Prevotella 6,C&R 1,2,0.4482538553553488,Prevotellaceae
Prevotella 6,C&R 2,2,-1.2874175208650922,Prevotellaceae
AB239481_g 6,C&R 2,2,-0.6754881993195754,Christensenellaceae
Sporobacter 9,C&R 1,2,-1.162763496041365,Ruminococcaceae
Subdoligranulum 5,C&R 3,2,-0.8863049327391909,Ruminococcaceae
Subdoligranulum 5,C&R 2,2,-0.7074388034125961,Ruminococcaceae
Clostridium 1,C&R 1,2,-0.8438669674003184,Clostridiaceae
Oscillibacter 15,C&R 4,2,-0.9662881530051038,Ruminococcaceae
Oscillibacter 15,C&R 5,2,1.1401127107145472,Ruminococcaceae
Oscillibacter 15,C&R 2,2,-0.8092288137759301,Ruminococcaceae
Dorea 3,C&R 3,2,-0.6552509011563222,Lachnospiraceae
Dorea 3,C&R 1,2,-0.721680838960036,Lachnospiraceae
JN713389_g 8,C&R 3,2,-0.6639279100127702,Ruminococcaceae
JN713389_g 8,C&R 2,2,-0.7509210602763561,Ruminococcaceae
Bacteroides 50,C&R 4,2,-0.48798179686755716,Bacteroidaceae
Sporobacter 13,C&R 5,2,0.9172062776495874,Ruminococcaceae
Eubacterium_g4 2,C&R 2,2,0.775849598452769,Lachnospiraceae
Pseudoflavonifractor 11,C&R 5,2,-1.5325908069523388,Ruminococcaceae
Pseudoflavonifractor 11,C&R 3,2,-0.8298745691935745,Ruminococcaceae
Pseudoflavonifractor 9,C&R 5,2,-0.6934399369095132,Ruminococcaceae
Pseudoflavonifractor 9,C&R 3,2,0.4910388951416197,Ruminococcaceae
FJ848448_g 1,C&R 2,2,-0.5333816543248213,Christensenellaceae
Veillonella 3,C&R 4,2,-0.48968004112304553,Veillonellaceae
AB009176_g 8,C&R 5,2,0.9509486455773343,Ruminococcaceae
Lactococcus 1,C&R 3,2,-0.7032883621629,Streptococcaceae
Pseudoflavonifractor 8,C&R 5,3,-0.7565514010234099,Ruminococcaceae
Oscillibacter 18,C&R 5,2,-0.6729137778445387,Ruminococcaceae
Murimonas 4,C&R 2,2,-1.0578016238922903,Lachnospiraceae
HM124260_g 2,C&R 5,2,-0.7083724421394499,Christensenellaceae
Pseudoflavonifractor 12,C&R 3,2,-0.6747533518159108,Ruminococcaceae
Mogibacterium 1,C&R 2,2,-0.6109725164487336,Mogibacterium_f
GU302849_g 1,C&R 2,2,-1.154472201512973,Christensenellaceae
Howardella 1,C&R 2,2,-0.6258767350539957,Lachnospiraceae
Bacteroides 10,C&R 4,2,-1.658021224755822,Bacteroidaceae
HM124260_g 3,C&R 1,2,-0.5694435107277723,Christensenellaceae
AM277063_g 2,C&R 5,2,-0.6234430516774643,Coriobacteriaceae
AM277063_g 2,C&R 1,2,-0.5777431264418339,Coriobacteriaceae
AM500802_g 1,C&R 4,2,0.5241033838060525,Mogibacterium_f
Coprococcus_g1 2,C&R 3,2,-0.606707682041707,Lachnospiraceae
AB239481_g 10,C&R 3,2,-0.5425765610427533,Christensenellaceae
EF400272_g 1,C&R 5,2,-0.4511164687979504,Ruminococcaceae
EF400272_g 1,C&R 1,2,0.5140972669046929,Ruminococcaceae
Oscillibacter 22,C&R 1,2,0.7123493404878924,Ruminococcaceae
Butyricimonas 5,C&R 4,2,-0.5801489000390407,Odoribacteraceae
Slackia 1,C&R 3,2,-0.5444314466744996,Coriobacteriaceae
Phascolarctobacterium 3,C&R 4,2,-0.7151144126360133,Acidaminococcaceae
HM124260_g 4,C&R 5,2,0.5990627723882336,Christensenellaceae
HM124260_g 4,C&R 3,2,-0.5429727346365358,Christensenellaceae
Acidaminococcus 1,C&R 4,2,-2.4184531189192064,Acidaminococcaceae
Acidaminococcus 1,C&R 3,2,-1.5689347559983646,Acidaminococcaceae
Acidaminococcus 1,C&R 1,2,1.5658971914360271,Acidaminococcaceae
Lachnospiraceae 7,C&R 5,2,0.5737534775108899,Lachnospiraceae
EU844456_g 1,C&R 3,2,-0.5434378330126897,Mogibacterium_f
Streptococcus 1,C&R 5,2,-0.6755399756724314,Streptococcaceae
Bacteroides 62,C&R 4,2,-0.7705688922991301,Bacteroidaceae
Bacteroides 62,C&R 3,2,-0.8019938804374385,Bacteroidaceae
Dialister 9,C&R 5,2,0.8472645085823605,Veillonellaceae
HM124260_g 6,C&R 5,2,0.7260832798345629,Christensenellaceae
Ruminococcus_g2 2,C&R 4,2,-3.19543184172868,Ruminococcaceae
Sutterella 2,C&R 5,2,-1.503027043785483,Sutterellaceae
EU622770_g 1,C&R 4,2,0.7804969672870448,Peptococcaceae
Intestinibacter 1,C&R 1,2,-0.6647786465161224,Peptostreptococcaceae
AB009176_g 20,C&R 5,2,0.5451864689876907,Ruminococcaceae
GU302849_g 3,C&R 5,2,0.5751866828696892,Christensenellaceae
AB606260_g 1,C&R 4,2,-0.5282855053998128,Hydrogenispora_f
Bacteroides 14,C&R 4,2,-1.711863636698543,Bacteroidaceae
Bacteroides 14,C&R 2,2,1.5060870597748843,Bacteroidaceae
Alloprevotella 1,C&R 4,2,-2.399270692945147,Prevotellaceae
Pseudoflavonifractor 19,C&R 2,2,0.6028876205625809,Ruminococcaceae
Prevotella 3,C&R 2,2,-2.6177108339161883,Prevotellaceae
Ruminococcus_g4 3,C&R 3,2,-0.774562450119272,Lachnospiraceae
Bacteroides 17,C&R 3,2,-1.592346456001079,Bacteroidaceae
Caproiciproducens 6,C&R 5,2,-0.46201227252444427,Ruminococcaceae
Bacteroides 15,C&R 2,2,-1.507188470173917,Bacteroidaceae
Clostridium_g6 1,C&R 4,2,0.5673504618130597,Erysipelotrichaceae
Clostridium_g6 1,C&R 5,2,-0.4964582701524184,Erysipelotrichaceae
Eubacterium_g23 1,C&R 2,2,-1.0494089065903542,Ruminococcaceae
